ASASSN-V J000002.96+772205.2
HJD MAG MAG_ERR FLUX FLUX_ERR
2457231.93199 13.171 0.02251 20.675 0.428
2457231.03683 13.157 0.02301 22.445 0.475
2457223.02109 13.269 0.02241 20.242 0.417
2457212.01316 13.292 0.02207 18.495 0.375
2457211.05199 13.275 0.02238 20.136 0.415
2457195.05456 13.218 0.02231 19.807 0.407
2457189.10662 13.232 0.02258 20.953 0.435
2457183.10235 13.26 0.02216 19.047 0.388
2457054.72713 13.112 0.02332 23.389 0.502
2457049.73679 13.074 0.02306 22.608 0.48
2457048.73192 13.068 0.02 24.357 0.448
2457047.72328 13.1 0.02341 23.664 0.51
2457045.72937 13.141 0.02311 22.773 0.484
2457037.72058 13.311 0.02224 19.469 0.398
2457012.79465 13.281 0.02236 20.015 0.412
2457009.73647 13.317 0.02201 18.072 0.366
2458442.84187 13.205 0.02272 21.476 0.449
2458427.90534 13.286 0.02234 19.929 0.41
2458417.79729 13.193 0.02241 20.266 0.418
2458377.84234 13.215 0.02267 21.272 0.444
2458371.95061 13.206 0.02236 20.02 0.412
2458368.02743 13.224 0.02262 21.097 0.439
2458347.95441 13.151 0.02305 22.565 0.478
2458317.08798 13.158 0.023 22.432 0.475
2458316.98506 13.182 0.02246 20.473 0.423
2458295.01904 13.193 0.02241 20.254 0.418
2458287.02767 13.262 0.02215 19.019 0.388
2458283.05328 13.243 0.02222 19.349 0.395
2458280.10297 13.214 0.02267 21.296 0.444
2458276.05077 13.212 0.02233 19.904 0.409
2458159.72935 13.218 0.02265 21.215 0.442
2458117.78232 13.419 0.02195 17.627 0.356
2458117.71886 13.416 0.02186 16.506 0.332
2458097.84669 13.358 0.02209 18.651 0.379
2458082.74773 13.327 0.02198 17.908 0.362
2458079.96202 13.309 0.02225 19.509 0.399
2458066.99421 13.309 0.02225 19.521 0.4
2458066.70508 13.315 0.02201 18.118 0.367
2458062.96449 13.269 0.02241 20.254 0.418
2458053.73867 13.182 0.02285 21.942 0.461
2458451.77161 13.167 0.02253 20.747 0.43
2458449.75963 13.203 0.02237 20.076 0.413
2458449.74058 13.229 0.0226 21.013 0.437
2458448.87977 13.205 0.02236 20.043 0.412
2458435.78376 13.329 0.02198 17.872 0.361
2458409.77698 13.366 0.02192 17.279 0.348
2458380.84022 13.237 0.02256 20.855 0.433
2458371.91548 13.211 0.02269 21.358 0.446
2458336.09383 13.292 0.02231 19.827 0.407
2458336.03557 13.277 0.02211 18.761 0.382
2458312.97208 13.311 0.02202 18.184 0.368
2458307.09723 13.173 0.0225 20.642 0.427
2458307.06428 13.214 0.02267 21.299 0.444
2458299.01443 13.175 0.02249 20.604 0.426
2458273.08953 13.209 0.02234 19.969 0.41
2458252.1141 13.322 0.022 17.997 0.364
2458112.81415 13.463 0.02189 16.928 0.341
2458110.73496 13.477 0.02187 16.71 0.336
2458077.90157 13.272 0.02212 18.849 0.384
2458076.81839 13.302 0.02227 19.639 0.402
2458071.9819 13.315 0.02223 19.413 0.397
2458070.69084 13.302 0.02204 18.334 0.372
2458065.99763 13.323 0.0222 19.264 0.393
2458060.88928 13.247 0.02251 20.653 0.428
2458056.72758 13.216 0.02266 21.26 0.443
2458054.72586 13.211 0.02269 21.358 0.446
2458038.79907 13.248 0.0222 19.26 0.393
2458034.92667 13.241 0.02254 20.78 0.431
2458028.90391 13.178 0.02248 20.543 0.425
2458023.91455 13.124 0.02323 23.131 0.494
2458013.98872 13.24 0.02254 20.795 0.431
2458010.90721 13.24 0.02254 20.799 0.431
2458002.91218 13.219 0.02265 21.199 0.442
2458001.93232 13.228 0.0226 21.029 0.437
2457999.10549 13.241 0.02222 19.391 0.396
2457984.05212 13.134 0.02316 22.923 0.488
2457982.9357 13.147 0.02263 21.144 0.44
2457980.9524 13.135 0.02269 21.374 0.446
2457978.93217 13.15 0.02262 21.082 0.439
2457975.98454 13.168 0.02253 20.737 0.43
2457957.99282 13.2 0.02238 20.129 0.414
2457946.03071 13.135 0.02316 22.897 0.488
2457913.10815 13.272 0.02239 20.19 0.416
2457895.11699 13.333 0.02197 17.815 0.36
2457763.74462 13.27 0.02213 18.878 0.384
2457762.70613 13.253 0.02248 20.549 0.425
2457758.74506 13.257 0.02246 20.466 0.423
2457755.80138 13.278 0.02237 20.075 0.413
2457745.86916 13.273 0.02239 20.166 0.415
2457737.78909 13.286 0.02208 18.598 0.378
2457721.8664 13.291 0.02207 18.507 0.376
2457686.97539 13.292 0.02207 18.493 0.375
2457686.8417 13.298 0.02229 19.717 0.404
2457676.02992 13.286 0.02234 19.921 0.409
2457668.9577 13.296 0.02206 18.428 0.374
2457659.04309 13.277 0.02237 20.098 0.414
2457657.91103 13.306 0.02203 18.267 0.37
2457652.81761 13.267 0.02214 18.936 0.386
2457618.99174 13.2 0.02275 21.57 0.451
2457614.96308 13.267 0.02242 20.286 0.418
2457614.91554 13.256 0.02217 19.127 0.39
2457612.03689 13.33 0.02218 19.141 0.391
2457578.9895 13.356 0.02193 17.443 0.352
2457549.05384 13.265 0.02214 18.965 0.386
2457540.09276 13.168 0.02253 20.731 0.43
2457521.1216 13.289 0.02208 18.549 0.377
2457416.76681 13.29 0.02232 19.854 0.408
2457414.76221 13.274 0.02239 20.158 0.415
2457408.7178 13.187 0.02244 20.37 0.42
2457407.77145 13.251 0.02249 20.591 0.426
2457404.71246 13.256 0.02217 19.126 0.39
2457399.80623 13.271 0.0224 20.21 0.416
2457372.82843 13.221 0.0223 19.752 0.405
2457358.86407 13.132 0.02318 22.973 0.49
2457329.92069 13.243 0.02222 19.36 0.396
2457324.733 13.254 0.02218 19.162 0.391
2457321.9751 13.275 0.02211 18.782 0.382
2457317.8258 13.282 0.02235 19.997 0.411
2457297.92674 13.229 0.02227 19.602 0.402
2457297.86406 13.236 0.02256 20.878 0.433
2457291.04471 13.266 0.02214 18.944 0.386
2457275.98079 13.206 0.02236 20.024 0.412
2457275.8968 13.192 0.0228 21.733 0.456
2457272.02971 13.185 0.02284 21.874 0.46
2457263.01276 13.141 0.02266 21.258 0.443
2457262.92923 13.154 0.02303 22.497 0.477
2457245.04481 13.28 0.02236 20.033 0.412
2457244.03001 13.297 0.02205 18.406 0.373
2457238.00888 13.239 0.02255 20.809 0.432
2457231.99419 13.111 0.02333 23.407 0.502
2457227.97457 13.183 0.02246 20.458 0.423
2457216.0436 13.308 0.02225 19.524 0.4
2457215.98068 13.309 0.02202 18.214 0.369
2457210.09693 13.252 0.02219 19.192 0.392
2457207.00328 13.221 0.0223 19.739 0.405
2457204.06961 13.183 0.02285 21.909 0.461
2457194.09163 13.226 0.02261 21.061 0.438
2457189.05232 13.242 0.02222 19.374 0.396
2457185.11738 13.224 0.02262 21.11 0.439
2457181.11628 13.272 0.02239 20.18 0.416
2457161.11945 13.157 0.02258 20.938 0.435
2457011.78849 13.3 0.02228 19.676 0.403
2457008.74134 13.285 0.02209 18.621 0.378
2457007.77581 13.291 0.02232 19.842 0.407
2457007.7357 13.291 0.02207 18.507 0.376
